Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2018-02-18 10:05:10,Running,,4.01,20:57,5:14,11.47,344.0,2,,,2018-02-18-1005.gpx
2018-02-17 17:47:39,Running,,2.46,12:33,5:06,11.75,212.0,1,,,2018-02-17-1747.gpx
2018-02-16 17:34:19,Running,,3.08,17:38,5:44,10.47,266.0,1,,,2018-02-16-1734.gpx
2018-02-15 14:18:12,Running,,5.82,30:27,5:14,11.46,499.0,5,,,2018-02-15-1418.gpx
2018-02-14 08:45:33,Running,,3.08,17:17,5:36,10.71,263.0,0,,,2018-02-14-0845.gpx
2018-02-14 07:18:38,Running,,3.15,16:36,5:16,11.39,270.0,2,,,2018-02-14-0718.gpx
2018-02-13 07:45:22,Running,,3.13,17:07,5:29,10.96,272.0,3,,,2018-02-13-0745.gpx
2018-02-12 18:46:09,Running,,4.39,20:32,4:41,12.82,377.0,2,,,2018-02-12-1846.gpx
2018-02-11 15:55:49,Running,,5.35,27:57,5:14,11.48,457.0,1,,,2018-02-11-1555.gpx
2018-02-10 09:27:24,Running,,4.01,20:56,5:13,11.48,345.0,0,,,2018-02-10-0927.gpx
2018-02-09 07:26:37,Running,,2.01,9:33,4:45,12.64,173.0,0,,"",2018-02-09-0726.gpx
2018-02-08 14:32:00,Running,,7.13,35:07,4:56,12.17,613.0,16,,"",2018-02-08-1432.gpx
2018-02-07 06:01:52,Running,,2.56,14:15,5:34,10.78,220.0,0,,,2018-02-07-0601.gpx
2018-02-07 05:01:18,Running,,3.09,15:22,4:58,12.08,268.0,2,,,2018-02-07-0501.gpx
2018-02-06 06:48:40,Running,,4.45,22:56,5:10,11.63,386.0,4,,,2018-02-06-0648.gpx
2018-02-05 17:39:07,Running,,7.72,37:08,4:49,12.47,666.0,3,,,2018-02-05-1739.gpx
2018-02-04 12:52:35,Running,,3.70,21:30,5:48,10.34,319.0,2,,,2018-02-04-1252.gpx
2018-02-03 09:45:05,Running,,2.84,14:53,5:14,11.45,244.0,0,,,2018-02-03-0945.gpx
2018-02-03 08:43:18,Running,,3.05,15:38,5:07,11.72,262.0,2,,,2018-02-03-0843.gpx
